id,movies_name,year,timing_min,rating_10,votes,genre,language
tt0398974,Dr. Shaitan,1960,,6.27478459199189,42.0,drama,hindi
tt1702558,Nadir Khan,1968,,6.27478459199189,42.0,drama,urdu
tt0493437,Apna Sapna Money Money,2006,,5.3,1892.0,"comedy, musical, romance",hindi
tt0273405,Aag Aur Sholay,1987,,2.2,20.0,drama,urdu
tt0049595,Parivar,1956,,7.4,21.0,"comedy, drama, family",hindi
tt2930026,Humraah: The Traitor,2008,,6.27478459199189,42.0,thriller,hindi
tt6597160,Jacqueline I Am Coming,2019,,7.9,16.0,drama,hindi
tt0829459,A Mighty Heart,2007,,6.6,26885.0,"biography, drama, history",urdu
tt0154875,Midnight Mail,1939,,6.27478459199189,42.0,action,hindi
tt0364628,Raktalekha,1992,,6.3,12.0,drama,bengali
tt0364733,Veedevadandi Babu,1997,,5.6,218.0,comedy,telugu
tt8272296,A Mayalu Timi Lai,,,6.27478459199189,42.0,"short, music",nepali
tt5684550,Da Tang Xuan Zang,2016,,6.2,379.0,"biography, history",sanskrit
tt0250733,Sikandar,1976,,6.27478459199189,42.0,drama,hindi
tt1407272,Pehla Qadam,1958,,6.27478459199189,42.0,drama,urdu
tt0318983,Amman Koil Kizhakkaalae,1986,,6.9,63.0,drama,tamil
tt3148392,Shatru,2013,,4.5,11.0,"action, thriller",kannada
tt7836398,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,,,6.27478459199189,42.0,"short, music",nepali
tt0376353,Zinda Jala Doonga,1988,,6.27478459199189,42.0,action,hindi
tt2302945,Tukaram,2012,,7.3,231.0,"biography, drama, history",marathi
tt6517874,Ramante Edenthottam,2017,,6.0,459.0,"comedy, drama, romance",malayalam
tt0150519,Faslah,1974,,6.27478459199189,42.0,"crime, drama, romance",hindi
tt4820566,Jawani Ki Ghabrahat,1991,,6.27478459199189,42.0,thriller,hindi
tt0318296,Anbu Chinnam,1990,,6.27478459199189,42.0,drama,tamil
tt12717866,Naveed,2020,,6.27478459199189,42.0,documentary,urdu
tt12701012,Ramudu Bheemudu,1988,,6.27478459199189,42.0,drama,telugu
tt3466016,Vaade Kavali,2009,,6.27478459199189,42.0,romance,telugu
tt4654666,Aakhri Muqabla,1978,,6.27478459199189,42.0,action,hindi
tt1319563,Dracula,1999,,4.1,16.0,horror,hindi
tt0398130,Jahanara,1935,,6.27478459199189,42.0,drama,hindi
tt0065764,Geet,1970,,7.1,98.0,"action, crime, musical",hindi
tt2707908,Sej Piya Ki,1985,,6.27478459199189,42.0,drama,hindi
tt3509698,Sati Sita Luv Kush,1981,,6.27478459199189,42.0,drama,hindi
tt1575647,Nuvvu Vasthavani,2000,,6.6,160.0,"family, romance",telugu
tt0357879,Madadgaar,1987,,5.4,11.0,"action, crime, drama",hindi
tt1827428,Hamra Se Biyah Karba,2003,,6.27478459199189,42.0,drama,bhojpuri
tt0351354,Milan Ki Raat,1967,,4.4,7.0,"drama, romance",hindi
tt0213519,Bhool Bhulaiyan,1933,,6.0,6.0,comedy,hindi
tt0246905,Saajan Chale Sasural,1996,,6.0,1312.0,"comedy, drama",hindi
tt1582519,Khaleja,2010,,7.6,8284.0,"action, comedy, fantasy",telugu
tt6682124,Rogue,,,5.1,118.0,"action, thriller",kannada
tt6882630,Bhale Bullodu,1995,,6.27478459199189,42.0,drama,telugu
tt0397478,Jaal,1973,,6.27478459199189,42.0,musical,urdu
tt0464849,Yuvakudu,2000,,6.9,110.0,romance,telugu
tt13276010,Goolihatti,2015,,6.27478459199189,42.0,drama,kannada
tt0139306,Hamara Ghar,1950,,6.27478459199189,42.0,drama,hindi
tt10515954,Olessia,2019,,8.1,40.0,"drama, musical",malayalam
tt5159256,Prohibited,2015,,8.2,25.0,"short, drama, thriller",urdu
tt1039989,Sunday,,,5.3,2592.0,"action, comedy, mystery",hindi
tt2761622,Spy in Goa,1966,,6.27478459199189,42.0,"action, thriller",hindi
tt8622232,Time to Dance,2021,,1.3,406.0,"musical, romance",hindi
tt0109922,Gopi Kishan,1994,,5.5,805.0,"action, comedy, drama",hindi
tt0187351,Nigahen: Nagina Part II,1989,,5.2,286.0,"drama, family, fantasy",hindi
tt5026204,Dobara Phir Se,2016,,6.6,427.0,drama,urdu
tt2373666,Pagaivan,1997,,5.2,82.0,"action, comedy",tamil
tt1245732,Red Alert: The War Within,2009,,6.4,337.0,"action, drama, thriller",hindi
tt0273409,Adhikar,1938,,6.27478459199189,42.0,drama,hindi
tt4601930,Hasta Melapa,1969,,6.27478459199189,42.0,drama,gujarati
tt0242476,Gangavatarana,1984,,6.27478459199189,42.0,drama,telugu
tt0449814,Amnol Sahara,1952,,6.27478459199189,42.0,drama,hindi
tt0442625,Waqt Ka Shahenshah,1987,,4.9,11.0,action,hindi
tt3666258,Coffee Bloom,2015,,5.9,101.0,drama,hindi
tt0266712,Laila Majnu,,,7.2,259.0,"drama, musical, romance",oriya
tt3209556,Vidiyum Munn,2013,,7.4,434.0,thriller,tamil
tt6120732,Olappeeppi,2016,,7.6,120.0,drama,malayalam
tt3681344,Duniya Ke Rangeen Raatein,1997,,6.27478459199189,42.0,drama,hindi
tt8243058,Timi Sanga,2018,,6.1,11.0,romance,nepali
tt0267796,Oho Naa Pellanta,1996,,6.2,19.0,comedy,telugu
tt14189052,Ivanu Thumba Orata,2009,,6.27478459199189,42.0,drama,kannada
tt0246433,Apnapan,1977,,6.5,73.0,"drama, romance",hindi
tt1606327,Saath Laakh,1957,,6.27478459199189,42.0,"musical, romance",urdu
tt1502852,Insaan,1966,,6.27478459199189,42.0,drama,urdu
tt7419244,Takrav,2018,,6.27478459199189,42.0,"action, romance",bhojpuri
tt2980794,Highway,,,7.6,26801.0,"crime, drama, romance",hindi
tt1524568,Pratipaksha,1988,,6.9,8.0,"action, drama",bengali
tt3521136,Har Raat Naya Khiladi,1990,,6.27478459199189,42.0,thriller,hindi
tt13057434,Naanaage Naanillai,2016,,6.27478459199189,42.0,drama,tamil
tt0243125,Atma Tarang,1937,,6.27478459199189,42.0,drama,hindi
tt2942618,Dehorokkhi: The Bodyguard,2013,,6.8,402.0,action,bengali
tt2777694,Beru,2005,,8.3,19.0,drama,kannada
